_id,user,text,type,deleted,createdAt,updatedAt,__v,status_verified,status_sentCount
630b1b9d96c89aedf1c7396a,62ff309afc6e8f84d6102c8b,Cats only meow as a way to communicate with humans.,cat,False,2022-08-28T07:39:09.703Z,2022-08-28T07:39:09.703Z,0,,0
63ffc8f331dde4dbd81393f9,63fb3ffffcf661e5a0976963,Another fact1.,cat,False,2023-03-01T21:51:47.371Z,2023-03-01T21:51:47.371Z,0,,0
648626486cb7474379393938,647c90f65d5c38a159244ed1,Cats love a clean and private bathroom space.,cat,False,2023-06-11T19:53:44.661Z,2023-06-11T19:53:44.661Z,0,,0
591f98803b90f7150a19c23f,5a9ac18c7478810ea6c06381,Cats can't taste sweets.,cat,False,2018-01-04T01:10:54.673Z,2020-08-23T20:20:01.611Z,0,True,1
64f2d2addc6815d54fd881f7,64e88752f2f14a8a1a5e7cba,I want to do test case 3.,cat,False,2023-09-02T06:14:05.467Z,2023-09-02T06:14:05.467Z,0,,0
627f7cdcb92cee313fc073a8,61b8a19266b26cede617e5a2,New2.,cat,False,2022-05-14T09:56:44.400Z,2022-05-14T09:56:44.400Z,0,,0
644edaebc761daaf75445330,644911127ed67a4bff5e4013,Коты  с котами.,cat,False,2023-04-30T21:17:31.751Z,2023-04-30T21:17:31.751Z,0,,0
63c957299ad43a5228fbe0c5,63c9570e9ad43a5228fbe0a4,Gfdgdfghgrtysdsdg.,cat,False,2023-01-19T14:43:53.558Z,2023-01-19T14:43:53.558Z,0,,0
65fd95858961e5a4987cdf17,65e50ea7be13cdeda2fe1f42,-.,cat,False,2024-03-22T14:28:21.897Z,2024-03-22T14:28:21.897Z,0,,0
64cd13f617a3bade41c44799,64cd134b17a3bade41c44635,Cats can help you meet people and make friends.,cat,False,2023-08-04T15:06:30.875Z,2023-08-04T15:06:30.875Z,0,,0
6467bb38ce9f4e7d7450d3ad,644fac390388a3c767567e01,ФАКТ 111 ФАКТ.,cat,False,2023-05-19T18:08:56.933Z,2023-05-19T18:08:56.933Z,0,,0
